,State Name,District,Rural/Urban_rur,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Rural/Urban_urb,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
73,Haryana,Sonipat,Rural,283858.0,142496.71600000001,13341.326000000001,159528.196,Urban,133576.0,47553.056000000004,4541.584,123157.072
74,Haryana,Jind,Rural,278335.0,142229.185,13916.75,142785.85499999998,Urban,89665.0,30396.434999999998,2510.62,78546.54
75,Haryana,Fatehabad,Rural,203020.0,94201.28,11572.140000000001,148001.58000000002,Urban,55360.0,18711.68,2712.6400000000003,50322.240000000005
76,Haryana,Sirsa,Rural,245476.00000000003,102363.49200000001,14483.084000000003,214791.50000000003,Urban,93316.0,30794.28,3825.9559999999997,89490.04400000001
77,Haryana,Hisar,Rural,302013.0,140436.045,16610.715,188758.125,Urban,154113.0,49624.386000000006,5085.729,137931.135
78,Haryana,Bhiwani,Rural,357047.0,163884.57299999997,18923.490999999998,175667.124,Urban,99235.0,41281.76,4366.34,86135.98
79,Haryana,Rohtak,Rural,175203.0,86375.079,8234.541000000001,102318.552,Urban,131739.0,43869.087,3556.9530000000004,121331.619
80,Haryana,Jhajjar,Rural,211816.0,95529.016,10378.984,123912.35999999999,Urban,78328.0,32036.152,3524.7599999999998,71826.776
81,Haryana,Mahendragarh,Rural,223726.00000000003,94188.64600000001,6935.506000000001,87253.14000000001,Urban,44216.0,16448.352000000003,1238.048,34134.752
82,Haryana,Rewari,Rural,199449.0,83170.23300000001,6581.817,99325.602,Urban,69305.0,21484.55,1663.32,60849.78999999999
83,Haryana,Gurgaon,Rural,141703.0,55689.278999999995,4534.496,92957.16799999999,Urban,381988.0,104664.712,14897.532,350282.99600000004
84,Haryana,Mewat,Rural,187398.0,109440.432,16865.82,33356.844000000005,Urban,36237.0,14929.644000000002,1739.376,22648.125
85,Haryana,Faridabad,Rural,87700.0,37886.4,3771.1,51392.200000000004,Urban,382981.0,149745.571,9191.544,341619.052
86,Haryana,Palwal,Rural,186069.0,95081.259,11722.347,59728.149000000005,Urban,63090.0,22838.58,2271.24,52238.52
87,Nct Of Delhi,North West,Rural,67592.0,31497.872,3041.64,43326.471999999994,Urban,959275.0,329990.6,31656.074999999997,824017.2250000001
88,Nct Of Delhi,North,Rural,4512.0,1141.536,40.608,4421.759999999999,Urban,296559.0,110023.38900000001,10379.565,266606.541
89,Nct Of Delhi,North East,Rural,5326.0,1938.6639999999998,149.128,5059.7,Urban,482255.0,171682.78,9645.1,458624.505
90,Nct Of Delhi,East,Rural,1086.0,72.762,13.031999999999998,1065.366,Urban,461132.0,111593.94399999999,8761.508,430697.288
91,Nct Of Delhi,New Delhi,,,,,,Urban,52664.0,15167.232,1948.568,41025.256
92,Nct Of Delhi,Central,,,,,,Urban,194897.0,76594.521,6236.704000000001,176966.476
93,Nct Of Delhi,West,Rural,1809.0,873.747,32.562,1575.639,Urban,699703.0,201514.464,19591.683999999997,629032.997
94,Nct Of Delhi,South West,Rural,41179.0,14618.545,1358.907,36113.983,Urban,606503.0,168001.33099999998,15769.078,553130.736
95,Nct Of Delhi,South,Rural,2918.0,1205.134,134.22799999999998,2643.7079999999996,Urban,728145.0,220627.935,21116.204999999998,640767.6
96,Rajasthan,Ganganagar,Rural,397697.0,167430.437,9942.425,323327.66099999996,Urban,164897.0,53096.834,5441.601,154343.592
97,Rajasthan,Hanumangarh,Rural,389059.0,143173.712,9337.416,320195.55700000003,Urban,108694.0,34999.46800000001,3369.514,102063.66600000001
98,Rajasthan,Bikaner,Rural,335754.0,169891.524,16451.946,99047.43,Urban,196179.0,53556.867,3335.0429999999997,181661.754
99,Rajasthan,Churu,Rural,344897.0,135199.624,20004.025999999998,162101.59,Urban,148996.0,45294.784,3277.9120000000003,130371.5
100,Rajasthan,Jhunjhunun,Rural,500452.00000000006,122110.288,12010.848,228706.56400000004,Urban,150357.0,38190.678,2706.426,124044.525
101,Rajasthan,Alwar,Rural,782294.0,309006.13,28162.584,115779.512,Urban,212967.0,61334.49600000001,3407.472,168882.831
102,Rajasthan,Bharatpur,Rural,,,,,Urban,129697.0,54472.74,3112.728,90139.41500000001
103,Rajasthan,Dhaulpur,Rural,214669.99999999997,125367.27999999998,14168.219999999998,10304.159999999998,Urban,58626.0,23333.147999999997,2051.91,36817.128
104,Rajasthan,Karauli,Rural,305047.0,190349.32799999998,17082.631999999998,25013.853999999996,Urban,59308.00000000001,24612.820000000003,1838.5480000000002,37008.192
105,Rajasthan,Sawai Madhopur,Rural,282057.0,155695.464,12410.508000000002,24821.016000000003,Urban,71264.0,24799.871999999996,1852.864,51452.608
106,Rajasthan,Dausa,Rural,361084.0,170070.564,19137.452,33580.812000000005,Urban,59610.0,15975.480000000001,834.54,45899.700000000004
107,Rajasthan,Jaipur,Rural,754841.0,321562.266,31703.322,166065.02,Urban,977837.9999999999,264994.098,11734.055999999999,886899.066
108,Rajasthan,Sikar,Rural,527560.0,165653.84,14771.68,212079.12000000002,Urban,178274.0,47955.706,2852.384,150998.078
109,Rajasthan,Nagaur,Rural,675712.0,313530.36799999996,42569.856,179063.68,Urban,166489.0,53276.48,3995.736,134190.134
110,Rajasthan,Jodhpur,Rural,584215.0,289186.425,30379.18,80037.45499999999,Urban,307442.0,79320.03600000001,5226.514,277005.24199999997
111,Rajasthan,Jaisalmer,Rural,159117.0,89264.637,5091.744000000001,26572.539,Urban,30830.0,12455.32,524.11,20501.95
112,Rajasthan,Barmer,Rural,542825.0,322438.05,28769.725,52654.024999999994,Urban,55979.99999999999,16234.199999999999,1399.5,46351.439999999995
113,Rajasthan,Jalor,Rural,419216.0,218411.536,35214.144,47371.408,Urban,48202.0,17593.73,1928.08,29837.037999999997
114,Rajasthan,Sirohi,Rural,238535.0,121175.77999999998,16458.915,38642.67,Urban,69639.0,18663.252,1323.1409999999998,47493.798
115,Rajasthan,Pali,Rural,512909.0,256967.409,27697.086000000003,95913.983,Urban,139808.0,46416.256,3495.2,96607.328
116,Rajasthan,Ajmer,Rural,409335.0,204258.16499999998,13917.39,57716.235,Urban,274919.0,76702.401,3024.1090000000004,236980.178
117,Rajasthan,Tonk,Rural,298911.0,161710.85100000002,5679.309,20624.859,Urban,81755.0,29677.064999999995,2043.875,53713.034999999996
118,Rajasthan,Bundi,Rural,239836.0,135027.668,8154.424,19906.388000000003,Urban,63452.0,21319.872,1269.04,40736.184
119,Rajasthan,Bhilwara,Rural,530015.0,294158.32499999995,19080.54,55651.575,Urban,145865.0,43905.365000000005,1896.2450000000001,108961.15500000001
120,Rajasthan,Rajsamand,Rural,304622.0,166323.612,12794.124,34422.286,Urban,61054.0,18865.685999999998,610.54,43592.556000000004
121,Rajasthan,Dungarpur,Rural,322816.0,200468.736,20014.592,29376.255999999998,Urban,31547.000000000004,8076.032000000001,662.4870000000001,23376.327
122,Rajasthan,Banswara,Rural,390437.0,267839.78199999995,35529.767,26940.153000000002,Urban,39407.0,9260.645,906.3609999999999,32510.774999999998
123,Rajasthan,Chittaurgarh,Rural,366780.0,201362.22,13204.080000000002,35210.88,Urban,88873.0,23817.964,1599.7140000000002,64432.925
124,Rajasthan,Kota,Rural,203454.0,94199.20199999999,5696.7119999999995,25024.842,Urban,311735.0,91338.355,5922.964999999999,239412.47999999998
125,Rajasthan,Baran,Rural,249184.0,126336.28800000002,7724.704000000001,18688.800000000003,Urban,69804.0,24361.595999999998,1396.08,39997.691999999995
126,Rajasthan,Jhalawar,Rural,298624.0,178278.528,12840.831999999999,21500.928,Urban,63763.0,19128.9,1339.0230000000001,42657.447
127,Rajasthan,Udaipur,Rural,665449.0,399934.849,25287.061999999998,61886.757000000005,Urban,182769.0,40209.18,2193.228,157546.878
128,Rajasthan,Pratapgarh,Rural,209813.0,132601.81600000002,5245.325000000001,13008.406,Urban,24269.0,5824.5599999999995,339.76599999999996,17012.569
129,Uttar Pradesh,Saharanpur,Rural,605082.0,281363.13,34489.674,259580.17799999999,Urban,284156.0,105990.188,8808.836,261423.52
130,Uttar Pradesh,Muzaffarnagar,Rural,673746.0,338220.492,30992.316,369886.554,Urban,296104.0,118441.6,9475.328,274192.304
131,Uttar Pradesh,Bijnor,Rural,683875.0,359718.25,37613.125,344673.0,Urban,224648.0,95924.69600000001,7188.736000000001,207574.752
132,Uttar Pradesh,Moradabad,Rural,692398.0,439672.73,41543.88,330966.24399999995,Urban,355518.0,164249.316,11376.576000000001,332764.84799999994
133,Uttar Pradesh,Rampur,Rural,396775.0,257506.97500000003,24600.05,223781.1,Urban,143217.0,69460.24500000001,5585.463,135053.631
134,Uttar Pradesh,Jyotiba Phule Nagar,Rural,335888.0,203212.24000000002,19817.392000000003,135362.864,Urban,115485.99999999999,58551.401999999995,4619.44,106247.12
135,Uttar Pradesh,Meerut,Rural,381520.0,190378.47999999998,15642.319999999998,202587.12,Urban,422303.0,151606.77699999997,8868.363,392319.487
136,Uttar Pradesh,Baghpat,Rural,246055.00000000003,128686.765,7873.760000000001,144680.34,Urban,69991.0,32545.815,2169.721,60542.215
137,Uttar Pradesh,Ghaziabad,Rural,355407.0,180191.34900000002,12794.652,212533.386,Urban,836316.0,285183.756,15053.688,792827.568
138,Uttar Pradesh,Gautam Buddha Nagar,Rural,170835.0,72263.20499999999,4100.04,88321.695,Urban,338935.0,95240.735,4406.155,310125.52499999997
139,Uttar Pradesh,Bulandshahr,Rural,658449.0,370706.78699999995,28313.306999999997,203460.74099999998,Urban,221628.00000000003,95964.924,6205.584,188383.80000000002
140,Uttar Pradesh,Aligarh,Rural,582117.0,330060.33900000004,25031.031,124573.038,Urban,275942.0,116999.408,7450.434000000001,232895.048
141,Uttar Pradesh,Mahamaya Nagar,Rural,288150.0,158770.65,12102.300000000001,47544.75,Urban,84883.0,39385.712,2716.2560000000003,61709.941000000006
142,Uttar Pradesh,Mathura,Rural,407488.0,217191.104,16299.52,79867.648,Urban,177802.0,72009.81,4089.4459999999995,144375.22400000002
143,Uttar Pradesh,Agra,Rural,496971.0,262897.659,21369.753,82497.186,Urban,406852.0,155417.464,7730.187999999999,333618.64
144,Uttar Pradesh,Firozabad,Rural,349747.0,201454.272,23433.049,39871.157999999996,Urban,185621.0,96708.541,7424.84,152394.841
145,Uttar Pradesh,Mainpuri,Rural,338475.0,180745.65,25385.625,45694.125,Urban,72783.0,30277.728000000003,3202.452,54878.382000000005
146,Uttar Pradesh,Budaun,Rural,710956.0,464965.22400000005,57587.436,149300.76,Urban,156668.0,81154.024,9870.084,121417.70000000001
147,Uttar Pradesh,Bareilly,Rural,631613.0,397916.19,48634.201,282962.624,Urban,362798.0,169063.86800000002,14511.92,334862.554
148,Uttar Pradesh,Pilibhit,Rural,371752.0,233088.50400000002,34201.183999999994,131971.96,Urban,89638.0,40874.928,7529.592000000001,79598.544
149,Uttar Pradesh,Shahjahanpur,Rural,520289.00000000006,319977.73500000004,62434.68000000001,140478.03,Urban,134714.0,66952.85800000001,11046.548,115719.32600000002
150,Uttar Pradesh,Kheri,Rural,754938.0,483160.32,83798.118,138153.654,Urban,107672.0,49313.776,9582.808,82046.064
151,Uttar Pradesh,Sitapur,Rural,827583.0,512273.877,100137.54299999999,98482.37700000001,Urban,111319.0,47199.256,9462.115,80149.68000000001
152,Uttar Pradesh,Hardoi,Rural,786613.0,490059.899,65288.87900000001,136870.66199999998,Urban,121064.00000000001,56173.696,7990.224,89587.36
153,Uttar Pradesh,Unnao,Rural,596317.0,351827.03,43531.140999999996,94218.08600000001,Urban,121039.00000000001,53499.238000000005,6172.9890000000005,86784.963
154,Uttar Pradesh,Lucknow,Rural,344155.0,196856.66000000003,28564.865000000005,73993.325,Urban,717566.0,223163.026,29420.206,629305.382
155,Uttar Pradesh,Rae Bareli,Rural,705025.0,390583.85,54991.95,94473.35,Urban,73393.0,25027.013,3816.4359999999997,52182.422999999995
156,Uttar Pradesh,Farrukhabad,Rural,316647.0,188721.612,27231.641999999996,75678.63299999999,Urban,94843.0,43343.251000000004,4457.621,77486.731
157,Uttar Pradesh,Kannauj,Rural,299785.0,174774.655,26381.08,65053.344999999994,Urban,65985.0,28571.504999999997,3893.1150000000002,49884.659999999996
158,Uttar Pradesh,Etawah,Rural,265643.0,145306.721,20720.154,52597.314,Urban,85483.0,34620.615000000005,3590.2860000000005,71292.82200000001
159,Uttar Pradesh,Auraiya,Rural,255836.0,141221.472,23025.24,52190.544,Urban,58438.0,22557.068,2337.52,43945.376000000004
160,Uttar Pradesh,Kanpur Dehat,Rural,363933.0,206713.944,30570.372,83704.59,Urban,41323.0,16322.585000000001,2438.0570000000002,27397.149
161,Uttar Pradesh,Kanpur Nagar,Rural,364869.0,214542.97199999998,25175.961000000003,86109.084,Urban,684906.0,265058.62200000003,32875.488,583539.912
162,Uttar Pradesh,Jalaun,Rural,304856.0,174682.48799999998,8840.823999999999,86274.248,Urban,91565.0,37633.215000000004,3204.775,69223.14
163,Uttar Pradesh,Jhansi,Rural,309592.0,146746.608,6191.84,64085.544,Urban,195321.0,64260.609,3711.0989999999997,139849.83599999998
164,Uttar Pradesh,Lalitpur,Rural,258013.0,136230.864,6966.351000000001,30961.56,Urban,43819.0,15862.478000000001,1139.294,27562.150999999998
165,Uttar Pradesh,Hamirpur,Rural,256081.0,129320.905,3841.215,64020.25,Urban,55300.0,20516.3,884.8000000000001,37991.1
166,Uttar Pradesh,Mahoba,Rural,198298.0,100537.08600000001,3371.066,35297.044,Urban,48525.0,23631.675000000003,776.4000000000001,26543.175000000003
167,Uttar Pradesh,Banda,Rural,378056.0,199991.62399999998,4158.616,75611.2,Urban,67569.0,23784.288000000004,1148.673,49663.215000000004
168,Uttar Pradesh,Chitrakoot,Rural,207237.0,108799.42499999999,3730.266,24453.966,Urban,23558.0,11001.586000000001,636.066,13828.546000000002
169,Uttar Pradesh,Fatehpur,Rural,558807.0,320755.218,31851.999,102261.681,Urban,77733.0,31792.797000000002,3342.5190000000002,56045.492999999995
170,Uttar Pradesh,Pratapgarh,Rural,711085.0,317854.99500000005,44798.355,80352.60500000001,Urban,41701.0,13219.216999999999,1251.03,26730.340999999997
171,Uttar Pradesh,Kaushambi,Rural,349856.0,193120.51200000002,15393.664,48280.128000000004,Urban,30764.0,13197.756,1353.616,15812.695999999998
172,Uttar Pradesh,Allahabad,Rural,983266.0,479833.80799999996,45230.236,153389.49599999998,Urban,265304.0,80917.72,7693.816,222855.36
